[10:56:53] [INFO] received Windows console close event; shutting log-core down
[10:57:42] [INFO] received Windows console close event; shutting log-core down
[11:31:32] [INFO] received Windows console close event; shutting log-core down
[11:34:40] [INFO] received Windows console close event; shutting log-core down
[11:37:39] [INFO] received Windows console close event; shutting log-core down
[11:40:10] [INFO] received Windows console close event; shutting log-core down
[11:41:52] [INFO] received Windows console close event; shutting log-core down
[11:43:48] [INFO] received Windows console close event; shutting log-core down
[11:47:50] [INFO] received Windows console close event; shutting log-core down
[11:52:03] [INFO] received Windows console close event; shutting log-core down
[11:53:55] [INFO] received Windows console close event; shutting log-core down
[11:57:43] [INFO] received Windows console close event; shutting log-core down
[11:59:22] [INFO] received Windows console close event; shutting log-core down
[12:03:03] [INFO] received Windows console close event; shutting log-core down
[12:08:25] [INFO] received Windows console close event; shutting log-core down
[12:09:28] [INFO] received Windows console close event; shutting log-core down
[12:12:27] [INFO] received Windows console close event; shutting log-core down
[12:16:56] [INFO] received Windows console close event; shutting log-core down
[12:01:39] [INFO] received Windows console close event; shutting log-core down
[12:05:20] [INFO] received Windows console close event; shutting log-core down
[12:07:21] [INFO] received Windows console close event; shutting log-core down
[12:08:44] [INFO] received Windows console close event; shutting log-core down
[12:15:23] [INFO] received Windows console close event; shutting log-core down
[12:16:50] [INFO] received Windows console close event; shutting log-core down
[12:33:44] [INFO] received Windows console close event; shutting log-core down
[12:36:24] [INFO] received Windows console close event; shutting log-core down
[12:37:02] [INFO] received Windows console close event; shutting log-core down
[12:38:40] [INFO] received Windows console close event; shutting log-core down
[12:45:40] [INFO] received Windows console close event; shutting log-core down
[12:46:39] [INFO] received Windows console close event; shutting log-core down
[12:47:16] [INFO] received Windows console close event; shutting log-core down
[12:51:39] [INFO] received Windows console close event; shutting log-core down
[12:53:47] [INFO] received Windows console close event; shutting log-core down
[13:00:47] [INFO] received Windows console close event; shutting log-core down
[11:59:34] [INFO] received Windows console close event; shutting log-core down
[12:09:57] [INFO] received Windows console close event; shutting log-core down
[12:12:57] [INFO] received Windows console close event; shutting log-core down
[12:17:28] [INFO] received Windows console close event; shutting log-core down
[12:22:37] [INFO] received Windows console close event; shutting log-core down
[12:30:13] [INFO] received Windows console close event; shutting log-core down
[12:31:41] [INFO] received Windows console close event; shutting log-core down
[12:38:47] [INFO] received Windows console close event; shutting log-core down
[12:39:47] [INFO] received Windows console close event; shutting log-core down
[12:41:42] [INFO] received Windows console close event; shutting log-core down
[12:49:20] [INFO] received Windows console close event; shutting log-core down
[13:19:30] [INFO] received Windows console close event; shutting log-core down
[13:38:16] [INFO] received Windows console close event; shutting log-core down
[20:56:58] [INFO] received Windows console close event; shutting log-core down
[11:52:29] [INFO] received Windows console close event; shutting log-core down
[12:43:26] [INFO] received Windows console close event; shutting log-core down
[12:50:16] [INFO] received Windows console close event; shutting log-core down
[13:00:57] [INFO] received Windows console close event; shutting log-core down
[13:02:18] [INFO] received Windows console close event; shutting log-core down
[13:09:24] [INFO] received Windows console close event; shutting log-core down
[13:32:25] [INFO] received Windows console close event; shutting log-core down
[13:33:07] [INFO] received Windows console close event; shutting log-core down
[13:45:40] [INFO] received Windows console close event; shutting log-core down
[17:25:12] [INFO] received Windows console close event; shutting log-core down
[19:01:12] [INFO] received Windows console close event; shutting log-core down
[19:03:12] [INFO] received Windows console close event; shutting log-core down
[19:04:43] [INFO] received Windows console close event; shutting log-core down
[19:06:53] [INFO] received Windows console close event; shutting log-core down
[19:12:14] [INFO] received Windows console close event; shutting log-core down
[19:13:04] [INFO] received Windows console close event; shutting log-core down
[19:15:20] [INFO] received Windows console close event; shutting log-core down
[19:15:32] [INFO] received Windows console close event; shutting log-core down
[19:32:31] [INFO] received Windows console close event; shutting log-core down
[19:42:41] [INFO] received Windows console close event; shutting log-core down
[19:44:02] [INFO] received Windows console close event; shutting log-core down
[19:47:23] [INFO] received Windows console close event; shutting log-core down
[19:50:52] [INFO] received Windows console close event; shutting log-core down
[20:04:36] [INFO] received Windows console close event; shutting log-core down
[20:04:37] [INFO] received Windows console close event; shutting log-core down
[20:08:05] [INFO] received Windows console close event; shutting log-core down
[20:28:16] [INFO] received Windows console close event; shutting log-core down
[16:46:03] [INFO] received Windows console close event; shutting log-core down
[22:27:26] [INFO] received Windows console close event; shutting log-core down
[22:28:31] [INFO] received Windows console close event; shutting log-core down
[22:29:15] [INFO] received Windows console close event; shutting log-core down
[22:31:15] [INFO] received Windows console close event; shutting log-core down
[22:42:05] [INFO] received Windows console close event; shutting log-core down
[22:44:14] [INFO] received Windows console close event; shutting log-core down
[22:54:39] [INFO] received Windows console close event; shutting log-core down
[22:58:51] [INFO] received Windows console close event; shutting log-core down
[23:00:00] [INFO] received Windows console close event; shutting log-core down
[23:03:13] [INFO] received Windows console close event; shutting log-core down
[15:33:59] [INFO] received Windows console close event; shutting log-core down
[15:36:23] [INFO] received Windows console close event; shutting log-core down
[22:11:39] [INFO] received Windows console close event; shutting log-core down
[20:18:02] [INFO] received Windows console close event; shutting log-core down
[21:35:16] [INFO] received Windows console close event; shutting log-core down
[21:37:15] [INFO] received Windows console close event; shutting log-core down
[21:39:10] [INFO] received Windows console close event; shutting log-core down
[21:40:15] [INFO] received Windows console close event; shutting log-core down
[21:42:44] [INFO] received Windows console close event; shutting log-core down
[20:35:52] [INFO] received Windows console close event; shutting log-core down
[20:03:21] [INFO] received Windows console close event; shutting log-core down
[20:49:27] [INFO] received Windows console close event; shutting log-core down
[16:02:09] [INFO] received Windows console close event; shutting log-core down
[16:06:52] [INFO] received Windows console close event; shutting log-core down
[16:09:34] [INFO] received Windows console close event; shutting log-core down
[16:11:39] [INFO] received Windows console close event; shutting log-core down
[16:12:52] [INFO] received Windows console close event; shutting log-core down
[16:20:56] [INFO] received Windows console close event; shutting log-core down
[16:25:13] [INFO] received Windows console close event; shutting log-core down
[16:28:21] [INFO] received Windows console close event; shutting log-core down
[16:35:21] [INFO] received Windows console close event; shutting log-core down
[15:49:48] [INFO] received Windows console close event; shutting log-core down
[15:54:06] [INFO] received Windows console close event; shutting log-core down
[16:02:50] [INFO] received Windows console close event; shutting log-core down
[16:14:27] [INFO] received Windows console close event; shutting log-core down
[16:24:25] [INFO] received Windows console close event; shutting log-core down
[21:51:11] [INFO] received Windows console close event; shutting log-core down
[21:52:49] [INFO] received Windows console close event; shutting log-core down
[21:56:04] [INFO] received Windows console close event; shutting log-core down
[21:57:16] [INFO] received Windows console close event; shutting log-core down
[21:58:15] [INFO] received Windows console close event; shutting log-core down
[22:00:12] [INFO] received Windows console close event; shutting log-core down
[22:01:13] [INFO] received Windows console close event; shutting log-core down
[11:34:43] [INFO] received Windows console close event; shutting log-core down
[11:36:52] [INFO] received Windows console close event; shutting log-core down
[11:39:31] [INFO] received Windows console close event; shutting log-core down
[11:43:19] [INFO] received Windows console close event; shutting log-core down
[11:45:35] [INFO] received Windows console close event; shutting log-core down
[11:47:26] [INFO] received Windows console close event; shutting log-core down
[11:47:58] [INFO] received Windows console close event; shutting log-core down
[11:51:42] [INFO] received Windows console close event; shutting log-core down
[11:53:14] [INFO] received Windows console close event; shutting log-core down
[11:55:57] [INFO] received Windows console close event; shutting log-core down
[11:57:17] [INFO] received Windows console close event; shutting log-core down
[11:59:25] [INFO] received Windows console close event; shutting log-core down
[12:02:08] [INFO] received Windows console close event; shutting log-core down
[12:03:45] [INFO] received Windows console close event; shutting log-core down
[15:15:09] [INFO] received Windows console close event; shutting log-core down
[15:18:01] [INFO] received Windows console close event; shutting log-core down
[15:21:30] [INFO] received Windows console close event; shutting log-core down
[15:23:32] [INFO] received Windows console close event; shutting log-core down
[15:25:15] [INFO] received Windows console close event; shutting log-core down
[15:30:42] [INFO] received Windows console close event; shutting log-core down
[15:31:19] [INFO] received Windows console close event; shutting log-core down
[15:31:44] [INFO] received Windows console close event; shutting log-core down
[15:32:28] [INFO] received Windows console close event; shutting log-core down
[15:33:39] [INFO] received Windows console close event; shutting log-core down
[15:34:37] [INFO] received Windows console close event; shutting log-core down
[19:26:41] [INFO] received Windows console close event; shutting log-core down
[19:38:15] [INFO] received Windows console close event; shutting log-core down
[19:56:48] [INFO] received Windows console close event; shutting log-core down
[09:22:01] [INFO] received Windows console close event; shutting log-core down
[09:23:09] [INFO] received Windows console close event; shutting log-core down
[09:29:17] [INFO] received Windows console close event; shutting log-core down
[09:30:33] [INFO] received Windows console close event; shutting log-core down
[09:31:57] [INFO] received Windows console close event; shutting log-core down
[09:32:30] [INFO] received Windows console close event; shutting log-core down
[09:35:23] [INFO] received Windows console close event; shutting log-core down
[21:45:29] [INFO] received Windows console close event; shutting log-core down
[21:45:38] [INFO] received Windows console close event; shutting log-core down
[21:46:01] [INFO] received Windows console close event; shutting log-core down
[21:46:01] [INFO] received Windows console close event; shutting log-core down
[21:46:01] [INFO] received Windows console close event; shutting log-core down
[21:46:02] [INFO] received Windows console close event; shutting log-core down
[21:57:49] [INFO] received Windows console close event; shutting log-core down
[10:56:25] [INFO] received Windows console close event; shutting log-core down
[10:59:36] [INFO] received Windows console close event; shutting log-core down
[11:00:36] [INFO] received Windows console close event; shutting log-core down
[11:01:29] [INFO] received Windows console close event; shutting log-core down
[12:33:17] [INFO] received Windows console close event; shutting log-core down
